"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"297";1999-03-31;0,00447761194029851;0;1;NA;NA;NA
"304";1999-06-30;0,00384615384615385;1;1;NA;NA;NA
"313";1999-09-30;0,000243506493506494;-1;0;NA;NA;NA
"323";1999-12-31;0,00180722891566265;-1;-2;NA;NA;NA
"353";2000-09-30;0,00315789473684211;0;1;NA;NA;NA
"364";2000-12-31;0,00267857142857143;-1;0;NA;NA;NA
"373";2001-03-31;0,00162162162162162;0;0;NA;NA;NA
"383";2001-06-30;0,00576923076923077;0;0;0;0;NA
"413";2002-03-31;0,00526315789473684;0;-1;-1;0;NA
"422";2002-06-30;0,00454545454545455;0;0;-1;0;NA
"432";2002-09-30;0,00652173913043478;1;1;1;1;NA
"443";2002-12-31;0,00555555555555556;1;1;1;0;NA
"453";2003-03-31;0,00526315789473684;-1;-1;0;0;NA
"463";2003-06-30;0,00508474576271186;0;1;0;0;NA
"473";2003-09-30;0,00576923076923077;0;-1;-1;1;NA
"483";2003-12-31;0,00588235294117647;1;1;0;0;NA
"492";2004-03-31;0,0075;1;NA;0;1;NA
"521";2004-12-31;0,00882352941176471;1;1;2;0;NA
"532";2005-03-31;0,00625;1;1;1;-1;NA
"542";2005-06-30;0,00697674418604651;1;-1;0;0;NA
"601";2006-12-31;0,00277777777777778;1;0;0;1;NA
"6110";2007-03-31;0,0024390243902439;1;0;1;2;NA
"622";2007-06-30;0,00375;0;0;0;-1;NA
"631";2007-09-30;0,00309278350515464;1;1;1;0;NA
"641";2007-12-31;0,00285714285714286;-1;0;0;-1;NA
"651";2008-03-31;0,00384615384615385;-1;-1;0;0;NA
"661";2008-06-30;0,00245901639344262;1;1;1;1;NA
"671";2008-09-30;0,00392156862745098;-2;-2;-1;0;NA
"681";2008-12-31;0,00405405405405405;-1;-1;0;-1;NA
"691";2009-03-31;0,0046875;1;1;2;-1;NA
"701";2009-06-30;0,004;-1;0;0;0;NA
"711";2009-09-30;0,00350877192982456;0;-1;-1;0;NA
"721";2009-12-31;0,00451127819548872;-1;-1;0;1;NA
"731";2010-03-31;0,00377358490566038;0;0;0;0;NA
"741";2010-06-30;0,00444444444444444;-1;-1;0;-1;NA
"751";2010-09-30;0,00576923076923077;0;0;0;-1;NA
"761";2010-12-31;0,00588235294117647;-1;-1;0;-1;NA
"771";2011-03-31;0,00512820512820513;0;0;0;0;NA
"78";2011-06-30;0,00560747663551402;-1;0;-1;0;NA
"81";2012-03-31;0,00555555555555556;-1;0;0;-1;NA
"82";2012-06-30;0,00631578947368421;-2;-1;-1;-1;NA
"881";2013-12-31;0,00810810810810811;1;NA;2;0;NA
"931";2015-03-31;0,00779220779220779;0;0;1;1;NA
