Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
02;14657;2130;3;1.001000047;15Q3;2;2;2;1;3;1;3;3;2;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
06;14661;2110;7;32.09999847;15Q3;1;2;;1;;1;;2;;1;;1;;2;1;FALSE;FALSE;FALSE;FALSE
06;14663;2110;7;32.09999847;15Q3;2;3;3;3;3;3;3;2;2;1;3;2;2;3;2;FALSE;FALSE;FALSE;FALSE
05;14665;2210;2;0.375;15Q3;1;2;1;2;1;2;1;2;2;1;1;1;1;2;2;FALSE;FALSE;FALSE;FALSE
06;14667;2110;7;32.09999847;15Q3;2;3;3;3;3;3;3;3;3;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
05;14701;2130;3;1.001000047;15Q2;2;3;3;2;3;3;3;2;2;2;2;2;2;3;2;TRUE;FALSE;FALSE;FALSE
01;14708;2130;5;4.289999962;15Q3;1;2;;2;2;2;2;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;14712;2110;7;32.09999847;15Q3;1;2;;2;;2;;2;;1;;1;;2;2;FALSE;FALSE;FALSE;FALSE
06;14766;2110;8;64.19999695;15Q3;1;2;2;2;2;2;2;2;2;1;1;2;1;3;2;FALSE;FALSE;FALSE;FALSE
06;14770;2130;3;1.001000047;15Q3;1;1;;1;;1;;1;;2;;2;;1;1;FALSE;FALSE;FALSE;FALSE
02;15298;2220;3;0.875;15Q3;2;3;2;3;2;2;1;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;15323;2210;5;3.75;15Q3;2;3;2;2;2;2;2;2;2;1;1;2;2;1;2;FALSE;FALSE;FALSE;FALSE
