Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
5,13209,2110,2,5.228802736,14Q4,1,2,1,2,2,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13781,2220,2,5.433853824,14Q4,1,2,2,3,3,2,3,2,3,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,50336,2210,1,0.628837107,14Q4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37254,2220,2,5.433853824,14Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14710,2110,2,5.228802736,14Q4,1,1,,1,3,1,3,3,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96411,2110,2,5.228802736,14Q4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,33500,2110,1,2.004418277,14Q4,1,1,1,1,1,1,1,2,2,1,3,1,3,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13318,2110,1,2.004418277,14Q4,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14665,2210,1,0.628837107,14Q4,1,2,2,2,2,2,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13214,2210,1,0.662670298,12Q2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13214,2210,1,0.662670298,12Q3,2,2,2,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37229,2110,1,2.004418277,14Q4,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96660,2110,1,2.004418277,14Q4,1,2,2,1,2,1,3,2,2,2,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,11085,2110,2,5.228802736,14Q4,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13949,2130,2,2.153036421,14Q4,1,2,3,2,3,2,3,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14849,2130,2,2.153036421,14Q4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,50693,2130,1,0.825348702,14Q4,2,3,3,3,3,3,3,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14010,2210,1,0.628837107,14Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37248,2120,1,0.903953341,14Q4,1,2,3,2,3,2,3,2,2,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
