Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7,Total_Q8,Total_Q9,Total_Q10,Total_N,Accom_Q1,Accom_Q2A,Accom_Q3A,Accom_Q4A,Accom_Q5A,Accom_Q6A,Accom_Q7,Accom_Q8,Accom_Q9,Accom_Q10,Accom_N,Trans_Q1,Trans_Q2A,Trans_Q3A,Trans_Q4A,Trans_Q5A,Trans_Q6A,Trans_Q7,Trans_Q8,Trans_Q9,Trans_Q10,Trans_N,RE_Q1,RE_Q2A,RE_Q3A,RE_Q4A,RE_Q5A,RE_Q6A,RE_Q7,RE_Q8,RE_Q9,RE_Q10,RE_N,BS_Q1,BS_Q2A,BS_Q3A,BS_Q4A,BS_Q5A,BS_Q6A,BS_Q7,BS_Q8,BS_Q9,BS_Q10,BS_N,PS_Q1,PS_Q2A,PS_Q3A,PS_Q4A,PS_Q5A,PS_Q6A,PS_Q7,PS_Q8,PS_Q9,PS_Q10,PS_N,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7,GP_Q8,GP_Q9,GP_Q10,GP_N,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7,WC_Q8,WC_Q9,WC_Q10,WC_N,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7,KZN_Q8,KZN_Q9,KZN_Q10,KZN_N,,
2013/03/31,,,,,,,,,,,,52,0,7,0,-11,26,82,22,25,56,26,58,10,-15,-19,-11,15,67,26,27,42,26,37,0,6,-2,-21,-5,65,16,11,63,38,55,-13,-18,-17,-30,-3,52,30,10,38,113,,,,,,,,,,,,48,-16,-23,-14,-36,0,61,27,16,48,115,58,17,15,-17,-7,9,63,24,16,40,54,66,0,-3,-19,-25,0,57,21,22,43,32,,
2013/06/30,,,,,,,,,,,,58,9,15,-7,-15,38,73,8,16,50,27,40,-50,-40,-24,-40,12,68,30,26,36,25,44,-4,-6,0,-11,-9,66,17,13,52,37,56,-21,-22,-5,-34,-5,58,28,10,36,115,,,,,,,,,,,,48,-14,-17,-16,-30,2,62,26,11,46,110,45,15,-14,-19,-10,3,62,23,11,41,58,50,0,-28,-16,-23,0,55,22,15,44,35,,
2013/09/30,,,,,,,,,,,,52,5,0,-13,-13,27,73,23,30,50,22,58,-6,0,-11,-4,15,61,24,26,48,27,43,0,-12,-11,-22,-6,58,13,12,50,36,55,-21,-20,-10,-37,-1,59,28,6,37,118,,,,,,,,,,,,56,-13,-11,-13,-31,3,61,27,13,45,104,64,16,8,0,-5,12,60,24,17,40,59,51,-49,-30,-13,-37,0,66,21,16,40,37,,
2013/12/31,,,,,,,,,,,,58,9,4,-16,-8,30,64,20,27,45,25,40,-25,-21,-18,-33,0,68,20,16,38,28,44,-14,-26,0,-36,-6,69,17,15,63,35,56,-17,-18,3,-24,0,57,31,8,38,123,,,,,,,,,,,,47,-26,-30,-7,-36,-2,64,28,11,48,114,61,7,0,2,-12,21,61,22,17,37,59,51,-20,-32,-11,-24,2,65,20,17,43,37,,
2014/03/31,,,,,,,,,,,,76,39,36,11,6,47,58,15,15,39,19,57,-17,-14,-19,-9,28,53,17,17,31,21,52,12,7,3,-10,3,55,23,13,61,29,53,-27,-24,-14,-36,5,58,34,11,42,106,,,,,,,,,,,,48,-36,-29,-13,-35,7,61,31,13,44,88,69,33,33,18,10,27,55,36,19,46,52,60,-26,-24,-30,-52,12,50,17,6,47,33,,
2014/06/30,,,,,,,,,,,,56,-11,22,-12,0,13,50,16,22,33,9,43,-40,-40,-40,-46,40,67,24,23,30,15,37,4,-5,-9,-19,-14,64,16,23,54,21,49,-13,-15,-15,-27,14,60,29,8,33,76,,,,,,,,,,,,49,-14,-15,-18,-31,13,60,33,20,41,66,39,4,15,-3,0,11,58,13,7,33,27,47,-22,-14,-14,-33,14,67,28,10,43,15,,
2014/09/30,,,,,,,,,,,,70,9,9,10,9,38,67,12,26,47,21,50,-27,4,-4,-29,13,57,20,18,37,25,47,0,-6,12,-15,12,50,9,13,54,33,49,-26,-17,-6,-35,8,57,25,6,35,101,,,,,,,,,,,,43,-38,-22,-5,-38,11,60,23,11,43,97,57,12,20,2,-6,29,53,14,18,39,49,62,-19,-17,17,-30,0,57,24,13,45,23,,
2014/12/31,,,,,,,,,,,,49,-24,-18,5,5,45,58,13,18,53,20,38,-30,-21,-25,-45,-8,60,16,18,33,25,54,-4,-20,0,-16,-4,48,12,12,54,25,46,-39,-26,-12,-48,-2,66,28,9,43,96,,,,,,,,,,,,40,-40,-35,-14,-42,-2,64,25,14,43,87,63,8,3,2,-23,27,60,16,12,44,42,52,-28,-13,7,-47,-18,59,15,8,48,29,,
2015/03/31,,,,,,,,,,,,70,18,-6,0,0,33,59,4,21,41,20,43,-17,-19,-32,-37,5,61,32,34,44,21,55,-31,-18,10,-30,20,58,12,22,63,22,43,-33,-28,-10,-33,-11,61,19,8,42,87,,,,,,,,,,,,40,-41,-25,-15,-41,-6,64,18,14,49,86,79,22,15,19,0,26,48,18,18,40,34,62,-21,-14,-15,-40,0,52,25,20,38,21,,
2015/06/30,,,,,,,,,,,,59,6,11,4,-2,48,59,30,18,46,57,48,-16,-27,-12,-25,12,67,39,27,44,33,52,-10,-6,15,-12,12,63,38,25,60,34,38,-38,-36,-13,-49,-4,62,37,10,41,106,,,,,,,,,,,,29,-40,-41,-15,-46,6,69,35,14,51,104,71,12,25,20,10,41,53,37,17,40,59,60,-10,-7,0,-22,17,52,32,14,37,41,add 'skilled' word from 15Q2 onward,add 'skilled' word from 15Q2 onward
2015/09/30,,,,,,,,,,,,41,-46,-52,-16,-42,2,74,27,19,51,38,44,-23,-21,-18,-28,7,74,26,18,39,58,41,-24,-29,2,-22,0,65,37,26,60,37,33,-33,-24,-21,-48,-17,63,36,8,46,121,,,,,,,,,,,,33,-37,-32,-19,-48,-8,69,34,14,50,119,51,-6,-7,1,-15,5,61,31,14,42,74,48,-33,-24,-14,-44,9,70,38,17,42,42,,
2015/12/31,,,,,,,,,,,,65,-35,-39,3,-49,28,59,24,14,37,36,37,-27,-26,-8,-21,5,74,24,20,39,38,41,-21,-26,-3,-41,-15,55,29,12,53,34,33,-41,-36,-15,-45,-7,66,35,9,44,98,,,,,,,,,,,,27,-47,-45,-14,-44,-3,71,34,17,46,92,58,-20,-8,2,-28,18,62,32,17,45,68,45,-14,-31,-3,-38,8,60,31,12,35,35,,
2016/03/31,,,,,,,,,,,,64,17,23,15,14,35,47,32,23,46,34,24,-60,-64,-29,-59,0,71,26,14,49,42,48,-32,-26,3,-44,-26,52,26,12,59,34,43,-42,-39,-12,-60,6,64,37,8,46,101,,,,,,,,,,,,33,-57,-50,-17,-64,1,69,31,13,47,95,66,-4,-1,5,-21,19,50,39,21,54,63,48,-33,-34,-23,-40,5,60,33,12,48,40,,
2016/06/30,,,,,,,,,,,,57,-4,3,7,0,25,63,37,25,51,33,28,-61,-60,-20,-62,-3,71,21,19,40,47,47,-18,-12,6,-15,0,56,24,15,54,34,44,-40,-27,-15,-42,-6,65,41,6,46,104,,,,,,,,,,,,36,-46,-37,-15,-49,-3,69,37,15,49,113,51,-24,-14,0,-18,23,60,33,13,47,58,37,-41,-38,-14,-44,3,64,27,7,42,35,,
2016/09/30,,,,,,,,,,,,64,-10,-28,-3,-22,18,60,29,19,47,33,37,-22,-25,-27,-43,-30,66,27,17,41,41,50,-32,-17,8,-17,-8,60,38,19,53,36,36,-37,-28,-20,-43,-6,60,33,10,44,85,,,,,,,,,,,,31,-45,-41,-18,-55,-13,70,33,16,46,91,56,-14,-5,-4,-12,3,56,29,17,43,58,50,-9,-9,-15,-24,3,47,28,15,36,33,,
2016/12/31,,,,,,,,,,,,81,26,22,14,14,39,51,36,25,43,36,38,-7,-17,-20,-27,-3,70,28,16,46,40,55,-14,-14,-3,-20,-10,53,30,16,54,34,42,-30,-23,-7,-35,-10,57,36,8,41,95,,,,,,,,,,,,37,-34,-34,-15,-43,-7,66,33,15,47,104,70,13,11,9,0,22,46,39,20,46,55,61,-6,-3,-3,-22,6,58,29,10,41,36,,
2017/03/31,,,,,,,,,,,,71,-10,-4,10,-7,42,45,32,17,34,29,41,-12,-22,-22,-39,3,71,27,18,50,41,47,-11,-10,-13,-29,-5,58,35,22,57,38,44,-27,-28,-14,-43,-12,62,36,6,39,94,,,,,,,,,,,,40,-24,-30,-18,-40,-9,70,34,12,46,103,58,-18,-2,2,-27,18,46,39,21,46,52,50,-9,-14,-6,-34,9,61,31,12,32,35,,
2017/06/30,,,,,,,,,,,,38,-46,-34,-3,-57,-3,69,25,18,50,32,32,-32,-40,-15,-50,2,75,23,13,49,39,34,-35,-38,-3,-44,-19,63,35,11,54,34,35,-36,-30,-9,-50,-22,55,35,7,43,91,,,,,,,,,,,,25,-43,-40,-16,-59,-23,66,34,9,49,107,47,-25,-23,4,-39,6,53,30,16,49,50,37,-31,-30,-11,-34,0,67,25,7,39,27,,
