"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"75130";2010-09-30;1;0;NA;0;0;NA
"76130";2010-12-31;1;0;0;0;0;NA
"77133";2011-03-31;1;0;0;0;0;NA
"78136";2011-06-30;1;NA;1;1;0;NA
"8485";2012-12-31;1;0;0;1;0;NA
"8590";2013-03-31;1;0;0;1;-2;NA
"8675";2013-06-30;1;1;1;0;0;NA
"8771";2013-09-30;1;0;0;1;0;NA
"88102";2013-12-31;1;1;1;0;0;NA
"91101";2014-09-30;1;1;1;1;0;NA
"9276";2014-12-31;1;NA;0;0;0;NA
"9376";2015-03-31;1;NA;0;1;0;NA
"9466";2015-06-30;1;0;0;1;0;NA
"6501";1993-06-30;1;-1;1;NA;NA;NA
"9277";1994-03-31;1;0;0;NA;NA;NA
"10142";1994-06-30;1;-1;0;NA;NA;NA
"16110";1995-12-31;1;1;2;NA;NA;NA
"19119";1996-09-30;1;1;1;NA;NA;NA
"20119";1996-12-31;1;0;0;NA;NA;NA
"25112";1998-03-31;1;0;0;NA;NA;NA
"3553";2000-09-30;1;NA;1;NA;NA;NA
"3761";2001-03-31;1;NA;-1;NA;NA;NA
"3858";2001-06-30;1;0;0;-1;-1;NA
"4378";2002-09-30;1;NA;-2;-2;-1;NA
"4476";2002-12-31;1;0;0;0;0;NA
"6502";1993-06-30;1;0;1;NA;NA;NA
"9278";1994-03-31;1;-1;1;NA;NA;NA
"10143";1994-06-30;1;-1;0;NA;NA;NA
"11126";1994-09-30;1;1;1;NA;NA;NA
"12123";1994-12-31;1;0;-1;NA;NA;NA
"13146";1995-03-31;1;-1;0;NA;NA;NA
"16111";1995-12-31;1;-1;-1;NA;NA;NA
"17112";1996-03-31;1;0;-1;NA;NA;NA
"18123";1996-06-30;1;-1;0;NA;NA;NA
"19120";1996-09-30;1;-1;0;NA;NA;NA
"20120";1996-12-31;1;0;1;NA;NA;NA
"21113";1997-03-31;1;1;1;NA;NA;NA
"22104";1997-06-30;1;-1;0;NA;NA;NA
"23117";1997-09-30;1;1;1;NA;NA;NA
"24117";1997-12-31;1;0;-1;NA;NA;NA
"25113";1998-03-31;1;-1;-1;NA;NA;NA
"2896";1998-12-31;1;1;1;NA;NA;NA
"2994";1999-03-31;1;0;-1;NA;NA;NA
"6503";1993-06-30;1;0;-1;NA;NA;NA
"9279";1994-03-31;1;0;0;NA;NA;NA
"10144";1994-06-30;1;-1;0;NA;NA;NA
"11127";1994-09-30;1;2;2;NA;NA;NA
"12124";1994-12-31;1;0;0;NA;NA;NA
"13147";1995-03-31;1;0;0;NA;NA;NA
"6504";1993-06-30;1;0;0;NA;NA;NA
"10145";1994-06-30;1;0;0;NA;NA;NA
"11128";1994-09-30;1;-1;-2;NA;NA;NA
"12125";1994-12-31;1;1;0;NA;NA;NA
"21114";1997-03-31;1;0;0;NA;NA;NA
"22105";1997-06-30;1;0;0;NA;NA;NA
"23118";1997-09-30;1;0;0;NA;NA;NA
"24118";1997-12-31;1;0;0;NA;NA;NA
"25114";1998-03-31;1;0;0;NA;NA;NA
"2897";1998-12-31;1;-1;NA;NA;NA;NA
"2995";1999-03-31;1;0;NA;NA;NA;NA
"3554";2000-09-30;1;-1;-1;NA;NA;NA
"3652";2000-12-31;1;2;2;NA;NA;NA
"3762";2001-03-31;1;0;0;NA;NA;NA
"3859";2001-06-30;1;0;0;0;0;NA
"3960";2001-09-30;1;0;0;0;-1;NA
"4061";2001-12-31;1;1;1;1;0;NA
"4185";2002-03-31;1;0;0;0;0;NA
"4271";2002-06-30;1;1;1;1;0;NA
"4685";2003-06-30;1;0;0;0;0;NA
"4774";2003-09-30;1;0;0;0;0;NA
"4872";2003-12-31;1;1;1;0;2;NA
"4973";2004-03-31;1;0;-1;0;0;NA
"5065";2004-06-30;1;0;0;0;1;NA
"5171";2004-09-30;1;1;1;1;1;NA
"5283";2004-12-31;1;2;2;1;1;NA
"5380";2005-03-31;1;0;0;-1;0;NA
"5464";2005-06-30;1;0;0;0;0;NA
