Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5,Q6,Q7A,Q7P,Q8A,Q8P,Q9,Q10,Q11A,Q11P,Q12A,Q12P,Q13A,Q13P,Q14,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,10634,3510,3,0.3,07Q3,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,3,2,3,2,FALSE,TRUE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,07Q3,1,2,3,3,3,3,3,3,2,3,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,09Q4,2,3,2,2,2,2,2,3,2,1,2,2,2,3,1,3,2,3,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,10Q1,2,1,1,2,2,1,1,2,2,3,3,3,1,,1,1,2,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,11Q3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,11Q4,1,1,2,1,2,1,2,1,1,1,2,1,2,3,2,3,3,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
1,10635,3510,3,0.3,12Q2,2,3,1,3,1,3,1,1,1,1,1,1,1,2,2,3,3,3,3,3,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
1,10643,3510,3,0.3,07Q3,1,3,2,3,2,3,2,2,2,3,,3,,2,1,2,2,1,2,1,2,2,FALSE,TRUE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,07Q3,2,3,3,3,3,3,3,1,2,3,3,3,3,1,1,1,1,1,1,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,08Q3,2,3,3,3,3,3,3,1,2,3,3,3,3,2,1,2,1,2,1,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,10Q1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,10Q3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,10Q4,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,11Q1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,11Q2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,11Q3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,11Q4,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,10645,3510,4,0.44,12Q2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
