"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"887";2013-12-31;0,5;-1;-1;-1;0;NA
"915";2014-09-30;0,5;0;0;0;-1;NA
"926";2014-12-31;0,5;0;1;0;1;NA
"937";2015-03-31;0,5;-1;-1;0;0;NA
"645";2007-12-31;0,9;NA;1;0;0;NA
"655";2008-03-31;0,9;NA;1;0;1;NA
"668";2008-06-30;0,9;NA;2;0;2;NA
"679";2008-09-30;0,9;NA;0;1;-2;NA
"709";2009-06-30;0,9;NA;0;0;-1;NA
"718";2009-09-30;0,9;NA;0;0;0;NA
"729";2009-12-31;0,9;NA;0;0;0;NA
"757";2010-09-30;0,9;NA;1;1;0;NA
"767";2010-12-31;0,9;NA;-1;0;0;NA
"777";2011-03-31;0,9;NA;0;0;0;NA
"787";2011-06-30;0,9;NA;1;0;0;NA
"798";2011-09-30;0,9;NA;1;0;0;NA
"808";2011-12-31;0,9;NA;0;0;0;NA
"817";2012-03-31;0,9;NA;1;0;0;NA
"828";2012-06-30;0,9;NA;1;0;0;NA
"8311";2012-09-30;0,9;2;1;0;1;NA
"848";2012-12-31;0,9;-1;-1;0;-1;NA
"858";2013-03-31;0,9;0;0;0;0;NA
"864";2013-06-30;0,9;0;0;0;0;NA
"873";2013-09-30;0,9;1;1;1;1;NA
"888";2013-12-31;0,9;-1;-1;-1;-2;NA
"916";2014-09-30;0,9;-1;-1;1;0;NA
"927";2014-12-31;0,9;NA;0;1;0;NA
"938";2015-03-31;0,9;NA;-2;1;0;NA
"94";2015-06-30;0,9;-1;0;1;0;NA
"7311";2010-03-31;0,5;NA;-1;0;-1;NA
"748";2010-06-30;0,5;NA;-2;-1;-2;NA
"758";2010-09-30;0,5;NA;NA;0;0;NA
"799";2011-09-30;0,5;NA;-1;-1;-1;NA
"809";2011-12-31;0,5;NA;0;0;-1;NA
"818";2012-03-31;0,5;NA;0;0;-1;NA
"941";2015-06-30;0,5;NA;1;1;0;NA
"595";2006-09-30;0,3;NA;0;NA;NA;NA
"606";2006-12-31;0,3;NA;0;NA;NA;NA
"656";2008-03-31;0,3;NA;1;NA;NA;NA
"669";2008-06-30;0,3;NA;0;NA;NA;NA
"6710";2008-09-30;0,3;NA;0;NA;NA;NA
"686";2008-12-31;0,3;NA;0;NA;NA;NA
"697";2009-03-31;0,3;NA;1;NA;NA;NA
"7010";2009-06-30;0,3;NA;1;1;1;NA
"768";2010-12-31;0,3;NA;0;0;0;NA
"778";2011-03-31;0,3;NA;0;NA;1;NA
"865";2013-06-30;0,3;NA;0;0;0;NA
"889";2013-12-31;0,3;1;1;0;1;NA
"895";2014-03-31;0,3;0;0;0;0;NA
"928";2014-12-31;0,3;NA;0;NA;NA;NA
"546";2005-06-30;0,9;NA;1;1;1;NA
