,Date,Datum,Obs,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9
71,2009Q4,2009/12/31,163,43.80835125,-47.00133222,1.540607896,-28.70441698,-11.10674647,-40.56597836,-21.39555824,-8.058875066,-17.90449892,-20.48890911,-1.476578121,-28.58115467,-6.974664695,-65.43068113,16.32559866
72,2010Q1,2010/03/31,166,51.172049,-12.99400874,17.36380217,-5.104195469,19.63412598,-24.40992391,-11.5706436,-23.17428904,-3.50342967,11.05971083,24.75464276,-0.576349417,23.70739314,-41.92133682,18.8823662
73,2010Q2,2010/06/30,138,38.05998858,-24.99310672,4.530378101,-7.94314335,10.96895299,-18.83003595,0.494345049,-8.040520332,-5.626512104,11.65010637,9.684491971,-12.81129415,-3.89193145,-48.27413407,15.53246787
74,2010Q3,2010/09/30,147,51.52127854,-16.21347301,21.11007076,-12.30366057,19.72838874,-16.68568416,5.701602412,-3.035272912,0.198232618,3.47061785,0.909989197,-15.50657955,-15.95012928,-41.05563872,10.95304852
75,2010Q4,2010/12/31,224,46.1084529,-22.34753781,10.50549904,-2.993867938,12.05840204,-8.818371006,6.039424741,-19.31963622,1.322877009,4.349089795,15.67230931,-13.65999399,18.66972337,-49.83849933,23.7932343
76,2011Q1,2011/03/31,177,58.44299658,9.402483498,42.70994515,8.931136386,46.0612808,8.284490987,39.57411603,0.870452617,18.1584293,28.92867122,27.71153715,25.79545787,22.20384767,-28.04073195,21.46304733
77,2011Q2,2011/06/30,174,47.08617991,0.350398809,8.3322613,-2.209105079,9.59577324,1.078280075,3.527750037,-14.14634343,-4.641528682,54.30510196,40.48707762,32.09184683,24.85857339,-35.1544315,11.73138546
78,2011Q3,2011/09/30,172,48.02629355,-17.14870112,3.652412366,16.13301082,13.07930578,14.70514938,7.288961172,6.297720429,8.675332876,30.23335988,35.52552625,9.872751629,16.12343495,-11.56286264,14.73225592
79,2011Q4,2011/12/31,160,55.88543672,15.41513865,1.282066805,17.37244291,14.96664427,14.19391071,-2.527317091,-2.890150661,10.31673135,59.55306676,34.62315296,48.46014434,27.97839458,-14.94321814,30.81085951
80,2012Q1,2012/03/31,164,61.17222629,5.745715453,23.792867,8.843484161,31.25774488,-1.382399926,21.71536075,6.402741857,12.17604205,39.66363783,37.63715955,25.80340796,29.0732831,-34.52057284,22.030693
