Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
05,37467,3230,7,0.2,30,15Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37483,3220,5,0.1,3,15Q3,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37489,3330,4,0.05,0.75,15Q3,1,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37509,3160,9,0.057999998,40.59999847,15Q3,2,3,2,3,2,3,2,2,2,1,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37586,3220,7,0.1,15,15Q3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37649,3160,7,0.057999999,8.699999809,15Q3,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37666,3330,6,0.05,3.5,15Q3,2,3,3,3,2,3,2,3,2,1,2,3,,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37682,3120,4,0.117999999,1.769999981,15Q3,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51019,3110,6,0.057999999,4.059999943,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,51069,3110,5,0.058,1.74000001,15Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,51096,3120,9,0.117999998,82.59999847,15Q3,2,3,2,2,1,2,2,1,1,2,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51299,3160,1,0.057999998,0.057999998,15Q3,,2,3,2,3,3,3,,,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51305,3370,8,0.05,15,15Q3,2,3,2,3,2,3,2,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,51485,3220,1,0.100000001,0.100000001,15Q3,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
05,51505,3220,1,0.100000001,0.100000001,15Q3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,51522,3220,6,0.1,7,15Q3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,51538,3230,6,0.2,14,15Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51595,3230,1,0.200000003,0.200000003,15Q3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
08,51865,3310,1,0.150000006,0.150000006,15Q3,,,,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,51891,3310,9,0.150000011,105.0000076,15Q3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
03,51904,3310,5,0.15,4.5,15Q3,2,2,2,3,3,2,2,2,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,51954,3370,5,0.05,1.5,15Q3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,51964,3370,4,0.05,0.75,15Q3,2,3,3,3,3,3,3,3,2,1,1,2,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,51967,3330,7,0.05,7.5,15Q3,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,53044,3310,8,0.15,45,15Q3,2,3,,3,3,3,3,3,3,3,3,3,3,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
03,53269,3230,6,0.2,14,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96392,3230,4,0.2,3,15Q3,1,2,2,1,2,1,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96401,3120,6,0.118000003,8.260000229,15Q3,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96429,3220,6,0.1,7,15Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13835,3220,5,0.1,3,14Q4,1,2,,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13955,3330,9,0.05,35,14Q4,1,3,3,1,3,1,2,1,2,3,3,1,3,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
08,13845,3330,7,0.05,7.5,14Q4,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14602,3310,5,0.15,4.5,14Q4,1,2,2,1,2,1,3,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13795,3130,5,0.058,1.74000001,14Q4,2,3,3,3,3,3,3,2,2,1,1,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96570,3120,4,0.117999999,1.769999981,14Q4,2,3,3,3,2,1,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,35995,3160,3,0.057999998,0.405999988,14Q4,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96783,3220,5,0.1,3,14Q4,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13872,3220,5,0.1,3,14Q4,2,3,3,3,3,3,3,3,3,1,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,33359,3220,5,0.1,3,14Q4,2,2,2,3,3,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37448,3370,8,0.05,15,14Q4,,1,3,1,3,1,,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37396,3220,7,0.1,15,14Q4,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,51954,3370,5,0.05,1.5,14Q4,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37381,3310,5,0.15,4.5,14Q4,1,1,2,2,2,1,2,2,2,2,2,2,2,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14610,3310,2,0.150000006,0.450000018,14Q4,,3,,3,2,3,2,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,14Q4,2,3,2,3,2,3,2,3,2,1,2,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14269,3230,9,0.2,140,14Q4,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,51508,3220,6,0.1,7,14Q4,,2,,2,,2,,2,,2,,2,,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,37442,3110,1,0.057999998,0.057999998,14Q4,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13768,3230,8,0.2,60,14Q4,,3,3,3,3,3,3,3,2,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13105,3330,1,0.050000001,0.050000001,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,10932,3310,6,0.15,10.5,09Q4,1,3,2,2,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37464,3310,7,0.15,22.5,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
06,96783,3220,5,0.1,3,17Q1,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
05,96837,3310,1,0.150000006,0.150000006,17Q1,1,1,2,1,2,1,2,3,2,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
06,13982,3230,1,0.200000003,0.200000003,17Q1,1,,,1,1,1,1,1,1,2,2,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
05,14277,3230,9,0.2,140,17Q1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,3,,,,FALSE,FALSE,FALSE,FALSE,TRUE
06,33127,3140,5,0.058,1.74000001,17Q1,,2,3,2,2,2,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
05,33141,3230,9,0.2,140,17Q1,1,3,,3,1,,1,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
04,36040,3370,2,0.050000002,0.150000006,17Q1,2,,3,,3,,3,,2,,2,,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
