Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
05,37463,3330,7,7.5,2015Q3,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,FALSE,FALSE,FALSE,FALSE
05,37464,3310,7,22.5,2015Q3,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,FALSE,FALSE,FALSE,FALSE
05,37467,3230,7,30,2015Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,FALSE,FALSE,FALSE,FALSE
05,37483,3220,5,3,2015Q3,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
01,37489,3330,4,0.75,2015Q3,1,,,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,37509,3160,9,40.59999847,2015Q3,2,3,2,3,2,3,2,2,2,1,2,3,2,3,2,FALSE,FALSE,FALSE,FALSE
01,37586,3220,7,15,2015Q3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
01,37649,3160,7,8.699999809,2015Q3,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE
06,37666,3330,6,3.5,2015Q3,2,3,3,3,2,3,2,3,2,1,2,3,,3,3,FALSE,FALSE,FALSE,FALSE
06,37682,3120,4,1.769999981,2015Q3,1,,,1,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
06,51019,3110,6,4.059999943,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
02,51069,3110,5,1.74000001,2015Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,1,TRUE,FALSE,FALSE,FALSE
01,51096,3120,9,82.59999847,2015Q3,2,3,2,2,1,2,2,1,1,2,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE
06,51299,3160,1,0.057999998,2015Q3,,2,3,2,3,3,3,,,1,1,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,51305,3370,8,15,2015Q3,2,3,2,3,2,3,2,2,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
05,51485,3220,1,0.100000001,2015Q3,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,TRUE,FALSE,FALSE,FALSE
05,51505,3220,1,0.100000001,2015Q3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
05,51522,3220,6,7,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
02,51538,3230,6,14,2015Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
06,51595,3230,1,0.200000003,2015Q3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,TRUE,FALSE,FALSE,FALSE
08,51865,3310,1,0.150000006,2015Q3,,,,3,3,3,3,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
01,51891,3310,9,105.0000076,2015Q3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
03,51904,3310,5,4.5,2015Q3,2,2,2,3,3,2,2,2,2,1,1,2,2,3,3,FALSE,FALSE,FALSE,FALSE
05,51954,3370,5,1.5,2015Q3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
05,51964,3370,4,0.75,2015Q3,2,3,3,3,3,3,3,3,2,1,1,2,1,3,2,TRUE,FALSE,FALSE,FALSE
01,51967,3330,7,7.5,2015Q3,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,FALSE,FALSE,FALSE,FALSE
06,53044,3310,8,45,2015Q3,2,3,,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE
03,53269,3230,6,14,2015Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,3,FALSE,FALSE,FALSE,FALSE
01,96392,3230,4,3,2015Q3,1,2,2,1,2,1,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,96401,3120,6,8.260000229,2015Q3,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
06,96429,3220,6,7,2015Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE
05,96438,3310,3,1.050000072,2015Q3,2,,,3,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
05,96442,3240,5,1.5,2015Q3,,3,2,3,2,3,2,3,2,3,2,3,2,3,2,TRUE,FALSE,FALSE,FALSE
06,96454,3230,7,30,2015Q3,2,3,3,3,3,,,3,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,96469,3310,5,4.5,2015Q3,2,3,3,3,2,3,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,1.5,2015Q3,2,3,,3,,3,,2,,1,,3,,3,1,FALSE,FALSE,FALSE,FALSE
05,96520,3220,4,1.5,2015Q3,1,2,2,2,2,2,2,2,2,1,1,,1,1,,FALSE,FALSE,FALSE,FALSE
06,96530,3110,1,0.057999998,2015Q3,1,3,2,1,1,3,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
