Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q1AX,Q1PX,Q3A,Q3P,Q3AX,Q3PX,Q4AX,Q4PX,Q6,Q7,Q6bX,Q6cXi,Q6cXii,Q8,Q10,Q6eX,Q9,Q7aX,Q7bX,Q7cX,Q7dX,Q1,Q2A,Q2P
6,34914,5010,4,4,2001Q1,15,3,3,3,3,3,3,3,3,1,1,1,,,2,3,2,1,1,1,1,1,2,3,3
5,96943,6000,2,2,2001Q1,15,1,2,1,2,1,2,1,2,2,3,3,,,2,2,1,1,,,,,2,1,
1,30480,6000,7,7,2001Q1,15,3,3,3,3,3,3,3,3,,2,2,,,2,3,2,2,,,,,2,3,3
1,31592,6000,1,1,2001Q1,15,2,2,2,2,2,2,2,2,1,3,3,,,3,3,3,1,,,,,2,2,2
6,80615,6000,1,1,2001Q1,15,2,2,2,2,2,2,2,2,,3,3,,,3,2,3,3,1,1,1,1,1,2,
5,97045,6000,3,3,2001Q1,15,1,1,1,1,2,2,2,2,1,2,3,,,1,3,3,1,1,1,1,2,2,3,3
6,97027,6000,3,3,2001Q1,15,2,2,2,2,2,2,2,2,,3,3,,,3,3,3,3,,,,1,1,2,2
3,97306,6000,5,5,2001Q1,15,3,2,3,2,3,2,3,2,2,1,3,,,3,3,3,1,,,,1,2,3,3
4,96993,6000,3,3,2001Q1,15,3,3,2,3,2,2,2,2,2,2,3,,,2,3,1,1,,,,1,2,2,3
6,80658,6000,1,1,2001Q1,15,2,3,2,3,2,2,2,2,,2,1,,,3,2,1,1,1,1,1,1,2,3,3
5,42030,6000,1,1,2001Q1,15,3,3,3,3,,,,,,3,3,,,3,1,1,1,1,1,1,1,2,3,
3,44121,6000,1,1,2001Q1,15,1,1,1,1,1,1,1,1,1,1,3,,,3,1,1,2,,,,,2,1,1
1,44001,6000,4,4,2001Q1,15,1,1,1,1,3,1,3,1,2,3,3,,,3,2,2,1,,,,,2,2,2
1,31886,6000,1,1,2001Q1,15,1,1,1,1,2,1,2,1,2,2,2,,,3,3,3,3,,,,,,,
6,80006,6000,1,1,2001Q1,15,3,3,3,3,3,,3,,,3,3,,,3,2,,1,,,,,,,
2,90149,6000,5,5,2001Q1,15,1,1,1,1,1,1,2,1,2,3,3,,,1,1,1,1,,,1,,1,1,1
1,97017,6000,3,3,2001Q1,15,1,1,1,1,2,1,2,1,2,2,1,,,3,3,2,3,,,,,1,2,2
1,97140,6000,5,5,2001Q1,15,1,1,1,1,1,1,1,1,3,1,1,,,1,2,3,1,,,,,1,1,1
1,30067,6000,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,3,3,,,,,,3,3
1,96981,6000,3,3,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,3,1,,,,,2,3,3
1,52130,6000,4,4,2001Q1,15,3,2,3,2,3,2,3,2,2,,,,,,,,2,2,2,1,1,2,3,2
1,32027,6000,7,7,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,1,1,,,,1,2,3,3
1,96889,6000,2,2,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,2,2,3,1,1,1,1,2,3,3
1,34744,6000,5,5,2001Q1,15,2,2,2,2,3,3,3,3,1,3,3,,,3,1,1,2,,,,,,,
1,34732,6000,6,6,2001Q1,15,1,1,1,1,1,1,1,2,,1,1,,,2,2,1,2,,,,,1,1,1
1,34754,6000,5,5,2001Q1,15,3,1,3,1,3,1,3,1,,2,3,,,2,3,1,1,,,,,,2,1
5,34778,6000,9,9,2001Q1,15,3,1,3,1,3,1,3,1,,3,3,,,2,3,2,1,,,,1,2,1,1
1,34794,6000,5,5,2001Q1,15,1,1,1,1,2,1,3,1,1,3,3,,,3,1,2,3,,,,,1,1,1
1,34859,6000,3,3,2001Q1,15,2,1,2,2,1,,1,,2,3,3,,,2,2,3,2,,,,,1,2,2
1,34930,6000,2,2,2001Q1,15,3,1,3,1,3,1,3,1,2,3,3,,,3,2,1,1,1,,1,,2,3,1
5,34924,6000,5,5,2001Q1,15,3,1,3,1,3,1,3,1,2,2,3,,,3,2,1,1,,,,,2,3,1
1,80420,6010,1,1,2001Q1,15,3,2,3,2,3,3,3,3,1,3,3,,,3,2,2,1,,,,,2,3,3
1,80496,6010,6,6,2001Q1,15,1,2,1,2,2,2,2,2,1,3,3,,,3,3,3,3,,,,,1,1,1
1,30080,6010,1,1,2001Q1,15,1,2,1,2,1,,1,,1,2,3,,,3,2,2,1,,,,,1,2,1
1,30830,6010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,2,,,,,,,1,,,,,2,3,3
4,97011,6010,6,6,2001Q1,15,1,1,1,1,1,1,1,1,,3,2,,,3,3,2,2,,,,,1,1,
2,97056,6010,8,8,2001Q1,15,3,,,3,3,,,3,,3,3,,,3,3,3,1,,,,,2,3,3
5,31784,6010,7,7,2001Q1,15,1,1,1,1,1,1,1,1,2,2,2,,,3,2,2,2,1,1,1,1,1,1,1
2,90174,6010,3,3,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,3,1,,,,,2,3,3
3,80017,6010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,2,3,1,1,1,1,1,1,2,3,3
1,80576,6010,1,1,2001Q1,15,2,3,,,3,3,3,3,,2,1,,,3,2,1,1,,,,,2,3,3
1,96986,6010,6,6,2001Q1,15,3,1,3,1,1,1,2,1,,3,1,,,3,2,2,1,,,,,2,2,1
6,44059,6010,4,4,2001Q1,15,3,3,3,3,2,2,2,2,1,3,3,,,3,3,3,1,,,,,2,3,3
2,31889,6010,1,1,2001Q1,15,3,2,3,2,3,2,3,2,1,3,3,,,3,2,2,1,,,,,,,
6,97354,6010,4,4,2001Q1,15,3,2,3,2,2,3,2,3,2,2,2,,,2,3,3,2,,,,,,,
1,31758,6010,3,3,2001Q1,15,3,3,3,3,3,3,3,3,2,2,2,,,2,3,2,1,,,,,,,
2,42803,6010,4,4,2001Q1,15,3,3,3,3,3,3,3,3,1,,,,,,1,1,1,,,,,2,3,3
5,97343,6010,6,6,2001Q1,15,2,3,2,3,3,3,3,3,1,3,3,,,3,2,2,,,,,,2,3,2
3,30895,6010,1,1,2001Q1,15,1,1,1,1,1,,1,,1,1,3,,,3,2,1,2,1,1,1,1,1,2,
4,31864,6010,4,4,2001Q1,15,1,2,1,2,1,2,1,2,2,3,3,,,3,3,3,3,,,,,2,3,2
1,30085,6010,6,6,2001Q1,15,3,2,3,2,3,2,3,2,1,,,,,,,,1,,,,,2,3,2
2,90245,6010,7,7,2001Q1,15,3,3,3,3,3,3,3,3,2,2,3,,,3,3,3,1,,,,,2,3,3
1,97015,6010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,3,1,,,,,,3,3
1,31655,6010,1,1,2001Q1,15,2,2,2,2,3,2,3,2,1,,,,,,1,1,1,,,,2,2,2,1
5,31726,6010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,3,1,,,,,2,3,3
5,96999,6010,8,8,2001Q1,15,3,3,3,3,1,2,1,2,2,3,3,,,3,3,2,1,,,,,1,2,2
5,33197,6010,6,6,2001Q1,15,3,1,3,1,3,1,3,1,1,3,3,,,2,3,3,1,,,,,2,1,1
6,97248,6010,8,8,2001Q1,15,3,1,3,1,2,1,2,1,,1,1,,,3,1,1,1,1,1,1,1,2,3,1
6,31603,6010,1,1,2001Q1,15,3,2,3,2,3,2,3,2,2,3,3,,,3,3,2,2,,,,1,2,3,2
6,90860,6010,8,8,2001Q1,15,2,1,2,1,3,1,2,2,1,3,3,,,3,3,3,2,,,,,1,2,2
5,53436,6010,1,1,2001Q1,15,3,2,3,2,3,2,3,2,,3,3,,,3,3,3,1,,,,,2,3,2
2,40216,6010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,,2,,,,,2,2,1,1,,1,2,2,3,3
6,97028,6010,4,4,2001Q1,15,2,3,2,3,3,3,3,3,,,1,,,,,,1,,,,,2,2,2
5,43283,6010,1,1,2001Q1,15,3,1,3,1,3,2,3,2,,,,,,,,,,,,,,,3,3
6,97046,6010,4,4,2001Q1,15,3,3,3,3,1,,2,,1,2,3,,,2,2,1,2,,,,,2,3,3
6,97030,6010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,1,1,1,,,3,3,2,1,,,,,2,3,3
5,31806,6010,8,8,2001Q1,15,2,1,3,3,1,1,1,1,2,1,1,,,3,1,1,2,,,,,2,2,1
2,42846,6010,1,1,2001Q1,15,3,3,3,3,3,2,3,2,1,3,3,,,3,2,2,1,,,,,2,3,3
6,97346,6010,5,5,2001Q1,15,1,3,1,1,1,3,2,2,,2,3,,,3,2,2,1,,,,,2,3,3
1,34742,6010,7,7,2001Q1,15,3,2,3,3,3,3,3,3,,3,3,,,2,3,3,1,,,,,2,3,3
5,34756,6010,6,6,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,2,1,,,,,2,3,3
8,34751,6010,2,2,2001Q1,15,3,2,3,1,3,1,3,1,1,3,2,,,,2,2,1,,,,,2,3,1
5,34787,6010,5,5,2001Q1,15,2,3,,,2,2,2,2,1,3,3,,,3,3,1,1,,,,,2,3,3
5,34803,6010,6,6,2001Q1,15,2,1,1,1,1,1,1,1,1,3,3,,,3,3,3,1,,,,,2,2,2
9,34798,6010,6,6,2001Q1,15,1,1,1,1,1,1,1,1,3,3,3,,,2,3,3,3,,,,,1,1,1
