Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,37586,3220,7,15,15Q3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37649,3160,7,8.699999809,15Q3,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37666,3330,6,3.5,15Q3,2,3,3,3,2,3,2,3,2,1,2,3,,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37682,3120,4,1.769999981,15Q3,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51019,3110,6,4.059999943,15Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,51069,3110,5,1.74000001,15Q3,2,3,3,3,3,2,2,2,2,1,1,1,1,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,51096,3120,9,82.59999847,15Q3,2,3,2,2,1,2,2,1,1,2,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51299,3160,1,0.057999998,15Q3,,2,3,2,3,3,3,,,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51305,3370,8,15,15Q3,2,3,2,3,2,3,2,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,51485,3220,1,0.100000001,15Q3,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,51505,3220,1,0.100000001,15Q3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,51522,3220,6,7,15Q3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,51538,3230,6,14,15Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51595,3230,1,0.200000003,15Q3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
8,51865,3310,1,0.150000006,15Q3,,,,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,51891,3310,9,105.0000076,15Q3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
