"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"9212";2014-12-31;0,348;-1;-2;0;NA;NA
"9313";2015-03-31;0,348;-1;-2;0;NA;NA
"9415";2015-06-30;0,348;1;1;0;NA;NA
"9314";2015-03-31;0,118;0;-1;1;NA;NA
"9416";2015-06-30;0,118;1;1;0;NA;NA
"7614";2010-12-31;1,2;0;1;0;NA;NA
"8014";2011-12-31;1,2;1;1;1;NA;NA
"8110";2012-03-31;1,2;-1;-1;-1;NA;NA
"828";2012-06-30;1,2;0;0;-1;NA;NA
"839";2012-09-30;1,2;-2;-2;-2;NA;NA
"8413";2012-12-31;1,2;1;1;1;NA;NA
"9013";2014-06-30;1,2;-1;-1;-1;NA;NA
"9115";2014-09-30;1,2;-1;0;-1;NA;NA
"9213";2014-12-31;1,2;0;0;0;NA;NA
"9315";2015-03-31;1,2;0;0;-1;NA;NA
"9417";2015-06-30;1,2;0;0;0;NA;NA
"8310";2012-09-30;0,5;NA;0;1;NA;NA
"8414";2012-12-31;0,5;1;0;0;NA;NA
"8512";2013-03-31;0,5;NA;1;1;NA;NA
"8613";2013-06-30;0,5;NA;0;0;NA;NA
"8714";2013-09-30;0,25;NA;0;0;NA;NA
"9116";2014-09-30;0,25;0;0;0;NA;NA
"9117";2014-09-30;1,8;0;0;0;NA;NA
"9214";2014-12-31;1,8;0;0;1;NA;NA
"9316";2015-03-31;1,8;0;-1;1;NA;NA
"9418";2015-06-30;1,8;0;0;0;NA;NA
"8311";2012-09-30;0,232;-1;-1;0;NA;NA
"9014";2014-06-30;0,232;0;0;0;NA;NA
"9118";2014-09-30;0,232;-1;-1;0;NA;NA
"9419";2015-06-30;0,232;-1;-1;-1;NA;NA
"8312";2012-09-30;0,5;1;0;-1;NA;NA
"8415";2012-12-31;0,5;-1;0;2;NA;NA
"8816";2013-12-31;0,5;0;0;0;NA;NA
"9420";2015-06-30;0,5;0;0;0;NA;NA
"8313";2012-09-30;1,6;-1;0;1;NA;NA
"8614";2013-06-30;1,6;-1;-1;-1;NA;NA
"8715";2013-09-30;1,6;0;0;0;NA;NA
"8817";2013-12-31;1,6;-1;-1;0;NA;NA
"8914";2014-03-31;1,6;0;0;0;NA;NA
"9015";2014-06-30;1,6;0;0;0;NA;NA
"9119";2014-09-30;1,6;0;0;0;NA;NA
"9215";2014-12-31;1,6;0;0;-1;NA;NA
"9317";2015-03-31;1,6;1;0;1;NA;NA
"9421";2015-06-30;1,6;-1;-1;0;NA;NA
"8314";2012-09-30;1;1;0;0;NA;NA
"8416";2012-12-31;1;-1;0;0;NA;NA
"8513";2013-03-31;1;0;1;0;NA;NA
"8615";2013-06-30;1;1;0;0;NA;NA
"9422";2015-06-30;1;0;0;0;NA;NA
"8315";2012-09-30;0,522;1;0;-1;NA;NA
"8417";2012-12-31;0,522;1;0;0;NA;NA
"8514";2013-03-31;0,522;0;0;0;NA;NA
"8616";2013-06-30;0,522;-2;-1;0;NA;NA
"8716";2013-09-30;0,522;0;1;-1;NA;NA
"8818";2013-12-31;0,522;0;0;-1;NA;NA
"8915";2014-03-31;0,522;0;1;1;NA;NA
"9016";2014-06-30;0,522;1;0;0;NA;NA
"9120";2014-09-30;0,522;-1;0;1;NA;NA
"9216";2014-12-31;0,522;-1;0;-1;NA;NA
"9318";2015-03-31;0,522;0;-1;0;NA;NA
"9423";2015-06-30;0,522;NA;-1;0;NA;NA
"8316";2012-09-30;0,35;0;0;0;NA;NA
"8418";2012-12-31;0,35;0;0;0;NA;NA
"8515";2013-03-31;0,35;0;0;0;NA;NA
"8617";2013-06-30;0,35;0;0;0;NA;NA
"8717";2013-09-30;0,35;0;0;0;NA;NA
"8819";2013-12-31;0,35;NA;0;0;NA;NA
"8317";2012-09-30;0,5;-1;-1;0;NA;NA
"9121";2014-09-30;0,5;0;0;1;NA;NA
"9217";2014-12-31;0,5;0;0;0;NA;NA
"9319";2015-03-31;0,5;0;0;0;NA;NA
"9424";2015-06-30;0,5;0;0;0;NA;NA
"8318";2012-09-30;0,2;0;0;0;NA;NA
"8419";2012-12-31;0,2;0;0;0;NA;NA
"8516";2013-03-31;0,2;0;0;0;NA;NA
"8618";2013-06-30;0,2;0;0;0;NA;NA
"8718";2013-09-30;0,2;0;0;0;NA;NA
"8820";2013-12-31;0,2;NA;-1;0;NA;NA
"8916";2014-03-31;0,2;NA;1;-1;NA;NA
"9017";2014-06-30;0,2;0;0;0;NA;NA
"9122";2014-09-30;0,2;0;0;-1;NA;NA
"9218";2014-12-31;0,2;0;0;0;NA;NA
"9320";2015-03-31;0,2;-1;-1;0;NA;NA
"9425";2015-06-30;0,2;-1;-1;-1;NA;NA
"8319";2012-09-30;0,35;-1;-1;-1;NA;NA
"8420";2012-12-31;0,35;-1;-1;-1;NA;NA
"8619";2013-06-30;0,35;-1;-2;0;NA;NA
"8719";2013-09-30;0,35;-1;-1;-1;NA;NA
"9123";2014-09-30;0,35;1;1;0;NA;NA
