"";"Date";"w.Conf_cc.B";"w.Act_prod.B";"w.Conf_prod.B";"w.Act_GBC.B";"w.Conf_GBC.B";"w.Empl.B";"w.Uncert_fl.prod.B";"w.Uncert_fl.GBC.B";"w.Uncert_ee.prod.B";"w.Uncert_ee.GBC.B"
"67";"2009Q4";-0,435017428065867;-0,694875655120098;-0,309994279708533;-0,592977493160465;-0,161326983718128;-0,525843198490267;0,71542979268817;0,728946105410303;0,911546956734593;0,816930392398736
"68";"2010Q1";-0,400638581027989;-0,621428250337085;-0,207544934749636;-0,548689506842672;-0,145884980089789;-0,512488897886229;0,719727356071264;0,707264473407055;0,999558676146823;0,991562442258757
"69";"2010Q2";-0,465181216470406;-0,577900029405792;-0,0612920439537191;-0,479311215173948;-0,0300289926804168;-0,543908925151769;0,710593912799095;0,680306446551691;0,911337370907717;0,796727502973476
"70";"2010Q3";-0,439900012423375;-0,536048740974678;-0,152832074368938;-0,476785110217994;-0,08498515834951;-0,508148788184119;0,705293209489455;0,682496520936669;0,89769671721965;0,911537474606589
"71";"2010Q4";-0,601093443074314;-0,579250734816581;-0,13767253393832;-0,508173125808046;-0,16789120662819;-0,465183328829269;0,684399810081215;0,700837812759853;0,829359287499346;0,886456319466645
"72";"2011Q1";-0,541784050479982;-0,77365918013389;-0,149300432802101;-0,650836858381211;-0,0911974567712632;-0,54504262627453;0,679815258408231;0,689731938640333;0,780004258409605;0,896428632591436
"73";"2011Q2";-0,559319061910034;-0,299813838709809;0,023631864463615;-0,360300355886091;0,0841489548405209;-0,399833196772053;0,636707520732893;0,608405891339027;0,879297742977845;0,730441205333073
"74";"2011Q3";-0,382618901831851;-0,425016657973335;-0,210812188121622;-0,325039274274084;-0,181391685625616;-0,377290966643947;0,688554492362472;0,653548467053284;0,875856388682978;0,861481721463472
"75";"2011Q4";-0,490632375965798;-0,497278844363003;-0,09838108888267;-0,38954226554079;-0,286869600257435;-0,525206717037304;0,630863648718212;0,620908633276105;0,705482229797874;0,829852443483941
"76";"2012Q1";-0,370568222534972;-0,239093617039911;-0,00333786714167239;-0,170715948631146;0,186416829552564;-0,246041554617027;0,648393990197299;0,646465945809267;0,748464781577689;0,671270897018959
"77";"2012Q2";-0,446523821499763;-0,274790922792366;0,0656971973167846;-0,239139197631881;-0,0323100025226131;-0,203753602484169;0,667757520537918;0,677644122527135;0,840437791541932;0,988032832291287
"78";"2012Q3";-0,324270703798183;-0,155966340352378;-0,0223449862162981;-0,175781423920784;0,00017374228916805;-0,214572124301659;0,627950614570688;0,598933033703273;1,22828051292708;0,937136077263934
"79";"2012Q4";-0,249202950808031;-0,111704114780801;-0,0397075990311347;-0,11344675494014;-0,170909256281501;-0,119710409007465;0,827392145522518;0,769619118538064;0,979299155654018;0,900996571487612
"80";"2013Q1";-0,293228891797515;-0,196689414904335;0,202981003367581;-0,0753674768950767;0,0164343008032373;-0,154926744559986;0,637139280645853;0,625710820757902;0,894794327542271;0,784242735726277
"81";"2013Q2";-0,0364256538474241;0,0751632930820678;0,100776514190953;0,17416423844222;0,143426239794042;-0,188316569929173;0,661281129988981;0,65917474176242;0,840403580717394;0,883722934952378
"82";"2013Q3";0,10080286367838;-0,0334210122438326;0,0264321506368177;-0,0251398879934993;-0,0101388996380882;-0,105034581616097;0,666132175230015;0,614414973429091;0,908306131172082;0,713832450171188
"83";"2013Q4";-0,0511945392491468;-0,0841423948220065;-0,0491228070175439;-0,0380622837370242;-0,06;-0,164516129032258;0,683931567064431;0,626418390534633;1,035039421829;0,917448622009235
"84";"2014Q1";-0,0289017341040462;-0,137142857142857;0,00625;-0,0588235294117647;0,0211267605633803;-0,140845070422535;0,698184028390796;0,681426732952607;0,883201204303952;0,88038019456031
"85";"2014Q2";-0,100478468899522;-0,29047619047619;-0,153061224489796;-0,155660377358491;-0,112903225806452;-0,181395348837209;0,660118122025954;0,570931290981544;0,847855017964681;0,809277798753651
"86";"2014Q3";0,0869565217391304;-0,0372670807453416;0;0,00928792569659443;0,0627306273062731;-0,154798761609907;0,687118001176642;0,648397341095872;0,933637061458747;0,898010717960503
"87";"2014Q4";0,229571984435798;-0,0576923076923077;-0,036734693877551;-0,078125;-0,0444444444444444;-0,0193050193050193;0,695963251889069;0,665183535426478;0,862094720551718;1,00313959957774
"88";"2015Q1";0,0169491525423729;-0,145762711864407;-0,104247104247104;-0,0671641791044776;0,0206611570247934;-0,189090909090909;0,628122557039228;0,612867175203271;1,03531043708945;0,912912669004254
"89";"2015Q2";0,0305084745762712;-0,220447284345048;-0,154929577464789;-0,190972222222222;-0,156862745098039;-0,226666666666667;0,658591910745813;0,612694115526098;0,857786248328944;0,915982225537155
"90";"2015Q3";0,00291545189504373;-0,173913043478261;-0,0854700854700855;-0,173669467787115;-0,11178247734139;-0,208672086720867;0,686532841983699;0,670626816721677;NA;NA
