Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
06,14638,2110,3,0.214000004,1.498000026,14Q4,2,3,,3,,3,,2,,1,,1,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13847,2120,3,0.143000007,1.001000047,14Q4,2,2,3,2,3,2,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13060,2240,3,0.125,0.875,14Q4,1,1,3,1,2,1,3,2,2,1,2,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,50157,2120,9,0.143000009,100.1000061,14Q4,1,1,,1,,1,,1,,1,,1,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14657,2130,3,0.143000007,1.001000047,14Q4,2,1,3,1,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37210,2120,5,0.142999999,4.289999962,14Q4,2,3,3,2,3,1,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13827,2130,3,0.143000007,1.001000047,14Q4,1,,,1,1,2,2,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13671,2110,3,0.214000004,1.498000026,14Q4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13459,2110,3,0.214000004,1.498000026,14Q4,2,2,3,2,2,1,2,2,1,2,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13319,2220,2,0.125,0.375,14Q4,1,2,3,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96732,2110,7,0.21399999,32.09999847,14Q4,2,2,2,1,3,2,2,2,3,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13414,2120,4,0.142999999,2.144999981,14Q4,1,3,2,3,2,3,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13209,2110,7,0.21399999,32.09999847,14Q4,1,2,1,2,2,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13781,2220,6,0.125,8.75,14Q4,1,2,2,3,3,2,3,2,3,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,50336,2210,2,0.125,0.375,14Q4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37254,2220,4,0.125,1.875,14Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,14710,2110,5,0.214000003,6.420000076,14Q4,1,1,,1,3,1,3,3,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96411,2110,6,0.214000007,14.9800005,14Q4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,33500,2110,3,0.214000004,1.498000026,14Q4,1,1,1,1,1,1,1,2,2,1,3,1,3,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13318,2110,1,0.214000002,0.214000002,14Q4,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14665,2210,2,0.125,0.375,14Q4,1,2,2,2,2,2,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13214,2210,2,0.125,0.375,12Q2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13214,2210,2,0.125,0.375,12Q3,2,2,2,3,3,3,3,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37229,2110,1,0.214000002,0.214000002,14Q4,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96660,2110,2,0.214000007,0.64200002,14Q4,1,2,2,1,2,1,3,2,2,2,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,11085,2110,7,0.21399999,32.09999847,14Q4,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13949,2130,5,0.142999999,4.289999962,14Q4,1,2,3,2,3,2,3,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14849,2130,6,0.143000003,10.01000023,14Q4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,50693,2130,1,0.143000007,0.143000007,14Q4,2,3,3,3,3,3,3,3,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
